airport,degree,betweenness,pagerank,cluster
59IL,0.0018646776771443793,4.8508912549882614e-05,7.926810243638762e-05,1
7WI0,0.0002663825253063399,1.0974854760247164e-07,2.9751817523436128e-05,1
93WI,0.0003551767004084532,0.0,4.692615398205102e-05,1
K2H0,0.0004439708755105665,8.213228463751287e-05,6.126733403355537e-05,1
KFLD,0.004439708755105665,0.0005573547865451889,0.00014732457824798216,1
KUNU,0.0024862369028591726,0.00015459197018219861,0.00011388843529797502,1
01AL,0.0009767359261232463,1.892380838053958e-05,8.64030825870783e-05,1
1AL2,0.0025750310779612856,0.00012065087312604192,0.000149030768378205,1
2AL3,0.0003551767004084532,1.0926014308207563e-06,6.229221552675576e-05,1
FA55,0.003818149529390872,7.460900713510612e-05,0.00020168669416387945,1
K08A,0.0012431184514295863,7.357067780945e-05,6.809719753253271e-05,1
K4R3,0.0002663825253063399,0.0,5.77314700246826e-05,1
01CL,0.000887941751021133,5.3928156118707997e-08,3.539649144930455e-05,1
KHWD,0.014917421417155035,0.0013568213903702444,0.0003678045746006501,0
KLVK,0.012963949564908542,0.0008519594146938191,0.00044434671846538195,0
KPAO,0.013230332090214882,0.0004768187153981662,0.0005748726037647548,0
KPVF,0.004350914580003552,0.00013760747987896421,0.0001419875646767574,1
KRHV,0.012164801988989522,0.0006923028331292742,0.0006217120358305968,0
01IA,0.0006215592257147931,0.00013804609762128824,5.841358429123974e-05,1
KCBF,0.006570768957556384,0.00153464528247587,0.00042355039011357,0
KDVN,0.003285384478778192,0.0003422522614473406,0.00012350790012732198,1
KLAS,0.049369561356775,0.014854874326186995,0.00481814496160148,2
01II,8.87941751021133e-05,0.0,1.8386629517644837e-05,1
II27,0.0002663825253063399,8.131694313841683e-05,4.0997528631198264e-05,1
01LL,0.0004439708755105665,1.8764971219517595e-06,2.9840043728955484e-05,1
KALN,0.00701473983306695,0.0013873089200128407,0.0003786039230240863,0
KSTL,0.02912448943349316,0.005553697011368786,0.0018878935047439605,3
MY18,0.0025750310779612856,0.00011761878428252801,6.0755032502873186e-05,1
01PN,0.0003551767004084532,6.866062065051083e-07,2.515241129978853e-05,1
NC02,0.0007991475759190197,9.527300300720956e-05,5.596913958213532e-05,1
01SC,0.0018646776771443793,0.00021072409027252247,0.00010958364614830321,1
07MD,0.0006215592257147931,0.0,3.916334916270327e-05,1
18NC,0.0007103534008169064,2.196358515978458e-06,3.195253347386816e-05,1
3NC0,0.0013319126265316996,3.866802115993867e-06,9.709294237994045e-05,1
II75,0.0010655301012253596,3.571986613448149e-05,4.714765850853376e-05,1
K14A,0.006038003906943704,0.000162325918609946,0.0003013167102399389,1
KAVL,0.018025217545729,0.0020943302662045915,0.00063059168617416,0
KDMW,0.008169064109394424,0.0005725385090673684,0.00032391316027649374,0
KIPJ,0.005238856331024685,0.0006873359632876363,0.00027669155287804925,1
KSLC,0.03569525839104955,0.008572544798195005,0.002357011716630979,3
KTYS,0.03782631859350027,0.010416639927542297,0.0015249217158911357,3
01TE,0.0009767359261232463,1.7248980829882945e-05,3.7628213548670676e-05,1
2TS0,0.0003551767004084532,0.0,2.833477020836206e-05,1
46TS,0.0033741786538803056,0.0001369276879484869,0.0001665061161254751,1
KADS,0.034096963239211506,0.00883315710353368,0.0011570776164483616,3
KF69,0.017137275794707866,0.0013966247765589798,0.0016289687777704374,3
KHQZ,0.006304386432250044,0.0005786642977151521,0.00028458469755663664,0
KIND,0.04279879239921861,0.017712555113724066,0.0025455539786890216,2
OK37,0.0005327650506126798,5.390348529285944e-07,3.796747818093564e-05,1
01TX,0.0005327650506126798,3.812341664245686e-07,2.7990302955723965e-05,1
18TX,0.0012431184514295863,1.704762585803849e-05,6.66918265108051e-05,1
6TA3,0.0015982951518380393,0.0002052781680505408,0.00021869415120370436,1
7TE3,0.0002663825253063399,9.954945925443394e-09,2.5385289189760648e-05,1
KJWY,0.0024862369028591726,0.0002195594734421826,0.00014829332954257348,1
01UT,0.0003551767004084532,1.4921233167158004e-06,2.3439307333445738e-05,1
KGYR,0.011720831113478956,0.0008465241917701505,0.00043006093154630885,0
TS71,0.0010655301012253596,2.5377889773989027e-05,7.740772412824023e-05,1
01VA,0.0006215592257147931,5.349314311414978e-07,5.345006461437674e-05,1
